timestamp,open,high,low,close
1672531200000,7053.6,7053.6,7053.6,7053.6
1672617600000,7053.6,7053.6,7053.6,7053.6
1672704000000,7053.6,7053.6,7053.6,7053.6
1672790400000,7053.6,7053.6,7053.6,7053.6
1672876800000,7053.6,7053.6,7053.6,7053.6
1672963200000,7053.6,7053.6,7053.6,7053.6
1673049600000,7053.6,7053.6,7053.6,7053.6
1673136000000,7053.6,7053.6,7053.6,7053.6
1673222400000,7053.6,7053.6,7053.6,7053.6
1673308800000,7053.6,7053.6,7053.6,7053.6
1673395200000,7053.6,7053.6,7053.6,7053.6
1673481600000,7053.6,7053.6,7053.6,7053.6
1673568000000,7053.6,7053.6,7053.6,7053.6
1673654400000,7053.6,7053.6,7053.6,7053.6
1673740800000,7053.6,7053.6,7053.6,7053.6
1673827200000,7053.6,7053.6,7053.6,7053.6
1673913600000,7053.6,7053.6,7053.6,7053.6
1674000000000,7053.6,7053.6,7053.6,7053.6
1674086400000,7053.6,7053.6,7053.6,7053.6
1674172800000,7053.6,7053.6,7053.6,7053.6
1674259200000,7053.6,7053.6,7053.6,7053.6
1674345600000,7053.6,7053.6,7053.6,7053.6
1674432000000,7053.6,7053.6,7053.6,7053.6
1674518400000,7053.6,7053.6,7053.6,7053.6
1674604800000,7053.6,7053.6,7053.6,7053.6
1674691200000,7053.6,7053.6,7053.6,7053.6
1674777600000,7053.6,7053.6,7053.6,7053.6
1674864000000,7053.6,7053.6,7053.6,7053.6
1674950400000,7053.6,7053.6,7053.6,7053.6
1675036800000,7053.6,7053.6,7053.6,7053.6
1675123200000,7053.6,7053.6,7053.6,7053.6
1675209600000,7053.6,7053.6,7053.6,7053.6
1675296000000,7053.6,7053.6,7053.6,7053.6
1675382400000,7053.6,7053.6,7053.6,7053.6
1675468800000,7053.6,7053.6,7053.6,7053.6
1675555200000,7053.6,7053.6,7053.6,7053.6
1675641600000,7053.6,7053.6,7053.6,7053.6
1675728000000,7053.6,7053.6,7053.6,7053.6
1675814400000,7053.6,7053.6,7053.6,7053.6
1675900800000,7053.6,7053.6,7053.6,7053.6
1675987200000,7053.6,7053.6,7053.6,7053.6
1676073600000,7053.6,7053.6,7053.6,7053.6
1676160000000,7053.6,7053.6,7053.6,7053.6
1676246400000,7053.6,7053.6,7053.6,7053.6
1676332800000,7053.6,7053.6,7053.6,7053.6
1676419200000,7053.6,7053.6,7053.6,7053.6
1676505600000,7053.6,7053.6,7053.6,7053.6
1676592000000,7053.6,7053.6,7053.6,7053.6
1676678400000,7053.6,7053.6,7053.6,7053.6
1676764800000,7053.6,7053.6,7053.6,7053.6
1676851200000,7053.6,7053.6,7053.6,7053.6
1676937600000,7053.6,7053.6,7053.6,7053.6
1677024000000,7053.6,7053.6,7053.6,7053.6
1677110400000,7053.6,7053.6,7053.6,7053.6
1677196800000,7053.6,7053.6,7053.6,7053.6
1677283200000,7053.6,7053.6,7053.6,7053.6
1677369600000,7053.6,7053.6,7053.6,7053.6
1677456000000,7053.6,7053.6,7053.6,7053.6
